Ticker,Strike,Bid,Ask,isPut,isFuture
SPX US 6/21/2014 C1240 Index,1240,6.559000e+02,6.579000e+02,0,0
SPX US 6/21/2014 P1240 Index,1240,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1245 Index,1245,6.509000e+02,6.529000e+02,0,0
SPX US 6/21/2014 P1245 Index,1245,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1250 Index,1250,6.459000e+02,6.479000e+02,0,0
SPX US 6/21/2014 P1250 Index,1250,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1255 Index,1255,6.409000e+02,643,0,0
SPX US 6/21/2014 P1255 Index,1255,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1260 Index,1260,6.359000e+02,6.379000e+02,0,0
SPX US 6/21/2014 P1260 Index,1260,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1265 Index,1265,6.309000e+02,6.329000e+02,0,0
SPX US 6/21/2014 P1265 Index,1265,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1270 Index,1270,6.259000e+02,6.279000e+02,0,0
SPX US 6/21/2014 P1270 Index,1270,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1275 Index,1275,6.209000e+02,6.229000e+02,0,0
SPX US 6/21/2014 P1275 Index,1275,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1280 Index,1280,6.159000e+02,6.179000e+02,0,0
SPX US 6/21/2014 P1280 Index,1280,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1285 Index,1285,6.109000e+02,613,0,0
SPX US 6/21/2014 P1285 Index,1285,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1290 Index,1290,6.059000e+02,608,0,0
SPX US 6/21/2014 P1290 Index,1290,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1295 Index,1295,6.009000e+02,603,0,0
SPX US 6/21/2014 P1295 Index,1295,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1300 Index,1300,5.959000e+02,5.979000e+02,0,0
SPX US 6/21/2014 P1300 Index,1300,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1305 Index,1305,5.909000e+02,5.929000e+02,0,0
SPX US 6/21/2014 P1305 Index,1305,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1310 Index,1310,5.859000e+02,5.879000e+02,0,0
SPX US 6/21/2014 P1310 Index,1310,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1315 Index,1315,5.809000e+02,5.829000e+02,0,0
SPX US 6/21/2014 P1315 Index,1315,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1320 Index,1320,5.759000e+02,578,0,0
SPX US 6/21/2014 P1320 Index,1320,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1325 Index,1325,5.709000e+02,573,0,0
SPX US 6/21/2014 P1325 Index,1325,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1330 Index,1330,5.659000e+02,568,0,0
SPX US 6/21/2014 P1330 Index,1330,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1335 Index,1335,5.609000e+02,5.629000e+02,0,0
SPX US 6/21/2014 P1335 Index,1335,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1340 Index,1340,5.559000e+02,5.579000e+02,0,0
SPX US 6/21/2014 P1340 Index,1340,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1345 Index,1345,5.509000e+02,553,0,0
SPX US 6/21/2014 P1345 Index,1345,NaN,5.000000e-02,1,0
SPX US 6/21/2014 C1350 Index,1350,5.459000e+02,5.479000e+02,0,0
